,Complaints,Violations,Gap
"102 BEDFORD STREET New York, NY 10014",0.0,2.0,-2.0
"102 CONVENT AVENUE New York, NY 10027",1.0,13.0,-12.0
"102 EAST 101 STREET New York, NY 10029",0.0,2.0,-2.0
"102 EAST 103 STREET New York, NY 10029",5.0,24.0,-19.0
"102 EAST 117 STREET New York, NY 10035",4.0,9.0,-5.0
"102 EAST 22 STREET New York, NY 10010",1.0,1.0,0.0
"102 EAST 35 STREET New York, NY 10016",0.0,2.0,-2.0
"102 EAST 4 STREET New York, NY 10003",0.0,1.0,-1.0
"102 EAST 7 STREET New York, NY 10009",3.0,8.0,-5.0
"102 EAST 96 STREET New York, NY 10128",1.0,0.0,1.0
"102 EDGECOMBE AVENUE New York, NY 10030",0.0,2.0,-2.0
"102 FORSYTH STREET New York, NY 10002",10.0,1.0,9.0
"102 GREENE STREET New York, NY 10012",1.0,0.0,1.0
"102 GREENWICH AVENUE New York, NY 10011",3.0,0.0,3.0
"102 HAVEN AVENUE New York, NY 10032",0.0,1.0,-1.0
"102 LEXINGTON AVENUE New York, NY 10016",1.0,0.0,1.0
"102 MOTT STREET New York, NY 10013",0.0,2.0,-2.0
"102 NORFOLK STREET New York, NY 10002",16.0,56.0,-40.0
"102 NORTH END AVENUE New York, NY 10282",0.0,2.0,-2.0
"102 ST MARKS PLACE New York, NY 10009",1.0,0.0,1.0
"102 SUFFOLK STREET New York, NY 10002",3.0,2.0,1.0
"102 WEST 109 STREET New York, NY 10025",4.0,6.0,-2.0
"102 WEST 114 STREET New York, NY 10026",2.0,2.0,0.0
"102 WEST 118 STREET New York, NY 10026",0.0,2.0,-2.0
"102 WEST 119 STREET New York, NY 10026",0.0,1.0,-1.0
"102 WEST 121 STREET New York, NY 10027",0.0,2.0,-2.0
"102 WEST 123 STREET New York, NY 10027",0.0,1.0,-1.0
"102 WEST 132 STREET New York, NY 10027",0.0,1.0,-1.0
"102 WEST 134 STREET New York, NY 10030",12.0,27.0,-15.0
"102 WEST 137 STREET New York, NY 10030",0.0,1.0,-1.0
"102 WEST 142 STREET New York, NY 10030",3.0,4.0,-1.0
"102 WEST 29 STREET New York, NY 10001",10.0,26.0,-16.0
"102 WEST 71 STREET New York, NY 10023",0.0,1.0,-1.0
"102 WEST 74 STREET New York, NY 10023",0.0,1.0,-1.0
"102 WEST 80 STREET New York, NY 10024",6.0,11.0,-5.0
"102 WEST 87 STREET New York, NY 10024",2.0,1.0,1.0
"102 WOOSTER STREET New York, NY 10012",0.0,2.0,-2.0
"1020 6 AVENUE New York, NY 10018",0.0,1.0,-1.0
"1020 AMSTERDAM AVENUE New York, NY 10025",1.0,0.0,1.0
"1021 MADISON AVENUE New York, NY 10075",0.0,1.0,-1.0
"1022 LEXINGTON AVENUE New York, NY 10021",0.0,1.0,-1.0
"1024 2 AVENUE New York, NY 10022",0.0,2.0,-2.0
"1025 5 AVENUE New York, NY 10028",1.0,0.0,1.0
"1025 PARK AVENUE New York, NY 10028",0.0,2.0,-2.0
"1026 1 AVENUE New York, NY 10022",8.0,1.0,7.0
"1026 2 AVENUE New York, NY 10022",0.0,2.0,-2.0
"1026 ST NICHOLAS AVENUE New York, NY 10032",14.0,21.0,-7.0
"1028 3 AVENUE New York, NY 10065",0.0,2.0,-2.0
"1028 AMSTERDAM AVENUE New York, NY 10025",1.0,0.0,1.0
"103 2 AVENUE New York, NY 10003",7.0,1.0,6.0
"103 8 AVENUE New York, NY 10011",1.0,0.0,1.0
"103 ALLEN STREET New York, NY 10002",0.0,1.0,-1.0
"103 AVENUE A New York, NY 10009",6.0,4.0,2.0
"103 CLINTON STREET New York, NY 10002",1.0,6.0,-5.0
"103 EAST 10 STREET New York, NY 10003",7.0,1.0,6.0
"103 EAST 100 STREET New York, NY 10029",3.0,3.0,0.0
"103 EAST 102 STREET New York, NY 10029",5.0,3.0,2.0
"103 EAST 2 STREET New York, NY 10009",3.0,2.0,1.0
"103 EAST 38 STREET New York, NY 10016",0.0,1.0,-1.0
"103 EAST 86 STREET New York, NY 10028",5.0,5.0,0.0
"103 EAST 97 STREET New York, NY 10029",1.0,2.0,-1.0
"103 ESSEX STREET New York, NY 10002",0.0,1.0,-1.0
"103 LEXINGTON AVENUE New York, NY 10016",4.0,2.0,2.0
"103 MANHATTAN AVENUE New York, NY 10025",0.0,2.0,-2.0
"103 NORFOLK STREET New York, NY 10002",0.0,1.0,-1.0
"103 SULLIVAN STREET New York, NY 10012",0.0,1.0,-1.0
"103 VERMILYEA AVENUE New York, NY 10034",9.0,16.0,-7.0
"103 WASHINGTON STREET New York, NY 10006",0.0,1.0,-1.0
"103 WEST 105 STREET New York, NY 10025",1.0,0.0,1.0
"103 WEST 117 STREET New York, NY 10026",0.0,1.0,-1.0
"103 WEST 119 STREET New York, NY 10026",0.0,1.0,-1.0
